Description,Comment,Designator,Footprint,Part,Alternative Part,Quantity

"Capacitor","C0402","C1, C2, C3, C4, C6, C8, C9, C10","C_0402","CC0402KRX5R9BB104, CC0402KRX5R9BB105, [NoValue]","","8"
"Capacitor","10uF 25V","C5, C7","C_0603","CC0603MRX5R8BB106","-","2"
"GREEN LED 0603, 60°","Emerald Green 515nm","D1, D2, D10","LED 0603 GREEN, 60°","APTD1608ZGC","","3"
"2-channel ESD solution for SuperSpeed USB 3.0 interface 3-SOT-9X3 -40 to 85","TPD2EUSB30DRTR","D3","SOT-9X3-3","TPD2EUSB30DRTR","","1"
"YELLOW LED 0603, 60°","Yellow 590nm","D4, D5, D6","LED 0603 YELLOW, 60°","APTD1608SYCK","","3"
"Diode","SM5819PL-TP","D7","SOD123FL","SM5819PL-TP","","1"
"RED LED 0603, 60°","Red 645nm","D8, D9","LED 0603 RED, 60°","APTD1608LSURCK","","2"
"NUT M2 H=3.5MM, Connector Standoff","SMTSOM235BTR","NUT1, NUT2, NUT3, NUT4","SMTSOM235BTR","SMTSOM235BTR","","4"
"Resistor","R0402","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15","R_0402","RC0402FR-07680RL, RC0402FR-0710KL, RC0402FR-071K2L, RC0402FR-075K1L, RC0402FR-072K7L","","15"
"2.9mm 1.25mm Rectangle button 50mA Surface Mount 3.5mm SPST 12V SMD Tactile Switches ROHS","SKSCLCE010","SW1, SW2","SKSCLCE010-Footprint-1","SKSCLCE010","","2"
"802.15.4, Bluetooth, WiFi 802.11b/g/n/ac/ax, Bluetooth v5.0, Thread, ZigbeeÂ® Transceiver Module 2.412GHz ~ 2.484GHz, 5.18GHz ~ 5.885GHz Antenna Not Included Surface Mount","ESP32-C5-WROOM-1-N8R8","U1","XCVR_ESP32-C5-WROOM-1-N8R8","ESP32-C5-WROOM-1-N8R8","","1"
"USB 2.0 HIGH SPEED 4-PORT HUB CONTROLLER","FE1.1S-BQFN24B","U2","QFN50P400X400X80-25N-D","FE1.1S-BQFN24B","","1"
"Ultra-Low Quiescent Current LDO","TLV75733PDBVR","U3","SOT23-5","TLV75733PDBVR","-","1"
"CH342F","CH342F","U4","QFN50P400X400X80-25N-D","CH342F","","1"
"USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS","TYPE-C-31-M-12","X1","HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","","1"
"Header, 5-Pin","PLS2-5","X2","PLS-5T","X6511WRS-05H-C60D48","","1"
"Header, 4-Pin","PLS2-4","X3","PLS-4T","X6511WRS-04H-C60D48","","1"
"Crystal Oscillator","12MHz","XTAL1","NX3225GA","X322512MSB4SI","","1"
